,beam,class,cleaned_text,class_labels
3,will you come and tell me then has it,2,will you come and tell me then has it,answering_machine
24,very big,2,very big,answering_machine
41,later right now i understand but it s not going to take much time i have a product specialist on the line who can,2,later right now i understand but it s not going to take much time i have a product specialist on the line who can,answering_machine
54,hold on honey i mean the men in a bunch of people and i can t hear what you say faces me i had to go out of here say hold on a complete hold on me i mean the reunion kay what you say,2,hold on honey i mean the men in a bunch of people and i can t hear what you say faces me i had to go out of here say hold on a complete hold on me i mean the reunion kay what you say,answering_machine
102,for you baby i read out to you at it this call is about a new state regulated final exam,2,for you baby i read out to you at it this call is about a new state regulated final exam,answering_machine
125,now little really what you need this,2,now little really what you need this,answering_machine
152,pope hello you here this call is about to state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it no i,2,pope hello you here this call is about to state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically designed designed for the people on fixed income or social security would you like to learn more about it no i,answering_machine
164,i m kind o busy right now ma am,2,i m kind o busy right now ma am,answering_machine
167,it not right now thank you i can,2,it not right now thank you i can,answering_machine
177,no not at the moment i,2,no not at the moment i,answering_machine
186,at what i,2,at what i,answering_machine
224,i m quite busy thank,2,i m quite busy thank,answering_machine
225,it but right now i m in the middle of a batch of rice crispy bars and they might burn,2,it but right now i m in the middle of a batch of rice crispy bars and they might burn,answering_machine
237,it no not ttodayi,2,it no not ttodayi,answering_machine
257,it beyond that remember you ve got to meet,2,it beyond that remember you ve got to meet,answering_machine
258,i ll tan gave,2,i ll tan gave,answering_machine
266,it and it s not right now thank you then,2,it and it s not right now thank you then,answering_machine
286,well not ttodaycalmly but i,2,well not ttodaycalmly but i,answering_machine
339,ah i may work right now some would like to call in the eating that would be great,2,ah i may work right now some would like to call in the eating that would be great,answering_machine
343,i can t talk to him bess,2,i can t talk to him bess,answering_machine
350,it no not at this time i completely understand that but these new cartel plans have just been approved,2,it no not at this time i completely understand that but these new cartel plans have just been approved,answering_machine
364,i m going to but i m busy right at this moment i won t be able to listen to you you,2,i m going to but i m busy right at this moment i won t be able to listen to you you,answering_machine
428,not at this time i,2,not at this time i,answering_machine
468,it not right now apron i,2,it not right now apron i,answering_machine
476,and sorry that so that are now in the form,2,and sorry that so that are now in the form,answering_machine
584,i had not time to go but now i like to be but i bear you right now to,2,i had not time to go but now i like to be but i bear you right now to,answering_machine
621,i m really busy right now can you call,2,i m really busy right now can you call,answering_machine
635,no i,2,no i,answering_machine
644,i am by,2,i am by,answering_machine
653,it my mother i,2,it my mother i,answering_machine
665,i m real busy this,2,i m real busy this,answering_machine
671,certain call from the doctor i m doing grinding scraping of my,2,certain call from the doctor i m doing grinding scraping of my,answering_machine
683,it ah well i don t have time now could you come back later,2,it ah well i don t have time now could you come back later,answering_machine
710,it no no enough i,2,it no no enough i,answering_machine
742,it no thank you i m busy right now so thank you for calling by by,2,it no thank you i m busy right now so thank you for calling by by,answering_machine
754,but i m on my way out to do i have a doctor s appointment,2,but i m on my way out to do i have a doctor s appointment,answering_machine
850,it no not right now thank you i completely understand that but we knew a fordable plan,2,it no not right now thank you i completely understand that but we knew a fordable plan,answering_machine
868,it oh no right now i m just tied up but i have company so you d have to come back to morrow,2,it oh no right now i m just tied up but i have company so you d have to come back to morrow,answering_machine
873,well i m kind busy,2,well i m kind busy,answering_machine
876,it no not ttodayi simply,2,it no not ttodayi simply,answering_machine
904,i woke again to think great,2,i woke again to think great,answering_machine
906,okay what s even you bother me to look in again at tea what do you need this call is about a new state regulated final expense insurance plan which covers a hundred dollar no one no more i ve got it for any of it i ve got plenty of it baby you die my time would,2,okay what s even you bother me to look in again at tea what do you need this call is about a new state regulated final expense insurance plan which covers a hundred dollar no one no more i ve got it for any of it i ve got plenty of it baby you die my time would,answering_machine
913,i m all,2,i m all,answering_machine
935,i m working right,2,i m working right,answering_machine
937,time thank you would you like to learn more about it,2,time thank you would you like to learn more about it,answering_machine
984,it i can but not late now not a bit if i can get called that later i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,2,it i can but not late now not a bit if i can get called that later i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our products,answering_machine
1006,it no not right now thankee i don t help that,2,it no not right now thankee i don t help that,answering_machine
1014,it right now i m busy i m looking for an address i m on my way to see a doctor but i don t know where i m going so i can t talk to you right now thank you second it,2,it right now i m busy i m looking for an address i m on my way to see a doctor but i don t know where i m going so i can t talk to you right now thank you second it,answering_machine
1058,austin,2,austin,answering_machine
1061,it not right now thank you i completely,2,it not right now thank you i completely,answering_machine
1099,up in the middle of dinner,2,up in the middle of dinner,answering_machine
1103,i m at work thank you,2,i m at work thank you,answering_machine
1129,it i talk right now to take i,2,it i talk right now to take i,answering_machine
1139,learn more about it,2,learn more about it,answering_machine
1153,it not right now you don t call me that i,2,it not right now you don t call me that i,answering_machine
1182,it not ttodayi completely understand that but these new fordable plans have just been approved in your state and ever,2,it not ttodayi completely understand that but these new fordable plans have just been approved in your state and ever,answering_machine
1205,it well i m kind of busy right now,2,it well i m kind of busy right now,answering_machine
1211,i m getting ready why man what can i help you with,2,i m getting ready why man what can i help you with,answering_machine
1230,i m doing all right i didn t say that call it now,2,i m doing all right i didn t say that call it now,answering_machine
1232,it not ttodayi completely understand that but these new plans have jested,2,it not ttodayi completely understand that but these new plans have jested,answering_machine
1248,it no not right now i ve got plenty to do i completely understand that but these new fordable plans have just been approved in your state and,2,it no not right now i ve got plenty to do i completely understand that but these new fordable plans have just been approved in your state and,answering_machine
1258,back thank you not a good day all was about a new state regulated final expense insurance plan that there and honest in their burial when you ve been in recording you may hang up or practice on for more morin for the people on sixteen all basine berger if you like to learn more about it,2,back thank you not a good day all was about a new state regulated final expense insurance plan that there and honest in their burial when you ve been in recording you may hang up or practice on for more morin for the people on sixteen all basine berger if you like to learn more about it,answering_machine
1274,it well not now but i do i can t do it now thanks i,2,it well not now but i do i can t do it now thanks i,answering_machine
1277,were always asleep,2,were always asleep,answering_machine
1310,not by didn t meddlesome i completely understand that but these new fordable plans have just been approved in your state and,2,not by didn t meddlesome i completely understand that but these new fordable plans have just been approved in your state and,answering_machine
1331,hello hello it s a little early i completely understand understand that but no more than just hello can you call me back a little later i,2,hello hello it s a little early i completely understand understand that but no more than just hello can you call me back a little later i,answering_machine
1398,not writing now i do,2,not writing now i do,answering_machine
1486,good bye good bye i m on another line,2,good bye good bye i m on another line,answering_machine
1508,i can t i m at work how do you run,2,i can t i m at work how do you run,answering_machine
1513,not at this time at the nursery,2,not at this time at the nursery,answering_machine
1545,no no no i completely understand that,2,no no no i completely understand that,answering_machine
1580,well they re just getting ready to give me the hardy,2,well they re just getting ready to give me the hardy,answering_machine
1619,it not ttodayi,2,it not ttodayi,answering_machine
1623,bertha,2,bertha,answering_machine
1657,no never miss that,2,no never miss that,answering_machine
1675,it but time,2,it but time,answering_machine
1715,though i am and i mean to get a street map,2,though i am and i mean to get a street map,answering_machine
1728,it not right now honey i ve been good after ttodayand i don t feel good i completely understand that to this may be commercial,2,it not right now honey i ve been good after ttodayand i don t feel good i completely understand that to this may be commercial,answering_machine
1758,it not right now thank you i,2,it not right now thank you i,answering_machine
1810,it not right now i,2,it not right now i,answering_machine
1817,it aye call you back,2,it aye call you back,answering_machine
1852,it not dead,2,it not dead,answering_machine
1865,i don t have time to talk thank you,2,i don t have time to talk thank you,answering_machine
1881,it not right no cause i don t see i don t want to listen thank you i completely understand that and that but these new fordable plans have just been approved in your state and everyone trollies soor,2,it not right no cause i don t see i don t want to listen thank you i completely understand that and that but these new fordable plans have just been approved in your state and everyone trollies soor,answering_machine
1913,do in the business ray,2,do in the business ray,answering_machine
1975,it the right now i,2,it the right now i,answering_machine
1998,i was on my on my way to bed what can i do for you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically were the people on already been takin care of thank you o great this call is about a new state regulated final expense insurance plan which covers,2,i was on my on my way to bed what can i do for you this call is about a new state regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically were the people on already been takin care of thank you o great this call is about a new state regulated final expense insurance plan which covers,answering_machine
2002,it now on that ttoda,2,it now on that ttoda,answering_machine
2007,it and at this time as if he did see something,2,it and at this time as if he did see something,answering_machine
2016,it no red man dad,2,it no red man dad,answering_machine
2083,it no ma am not at the moment might work i can t talk,2,it no ma am not at the moment might work i can t talk,answering_machine
2084,it no not in this i,2,it no not in this i,answering_machine
2139,i welcome you and good,2,i welcome you and good,answering_machine
2182,it he called back to morrow,2,it he called back to morrow,answering_machine
2233,right now on the road driving,2,right now on the road driving,answering_machine
2261,we are just eating our dinner to night and it s not a very good time to be talking,2,we are just eating our dinner to night and it s not a very good time to be talking,answering_machine
2308,i m ok but i can t can t talk right now,2,i m ok but i can t can t talk right now,answering_machine
2319,it not ttodaythank you can go to plan your own funeral,2,it not ttodaythank you can go to plan your own funeral,answering_machine
2320,it let me call you vagualame,2,it let me call you vagualame,answering_machine
2324,oh gay can t talk right down miss,2,oh gay can t talk right down miss,answering_machine
2370,no thank you not to night i,2,no thank you not to night i,answering_machine
2383,it not rest a moment thank you baas i,2,it not rest a moment thank you baas i,answering_machine
2386,don t have time radnor,2,don t have time radnor,answering_machine
2395,me not ttodayi,2,me not ttodayi,answering_machine
2399,it no not totodayaby call me some other time i ll feel like a day,2,it no not totodayaby call me some other time i ll feel like a day,answering_machine
2426,no no no not today thank you i completely understood,2,no no no not today thank you i completely understood,answering_machine
2434,amy i can t trust you but if you could crawl back i would but right now i m i m busy talking with some one some one else okay,2,amy i can t trust you but if you could crawl back i would but right now i m i m busy talking with some one some one else okay,answering_machine
2445,it how they were,2,it how they were,answering_machine
2512,doing fine but i i can t talk right now thank you,2,doing fine but i i can t talk right now thank you,answering_machine
2517,i was just ready to eat lunch,2,i was just ready to eat lunch,answering_machine
2526,it no thank you i have to make out in you because i completely understand that thank you,2,it no thank you i have to make out in you because i completely understand that thank you,answering_machine
2540,it you know i can t do,2,it you know i can t do,answering_machine
2558,it ma am i m ready now i m on my way to the hospital let me call call me another day call me another day like to urania i can t tell oh,2,it ma am i m ready now i m on my way to the hospital let me call call me another day call me another day like to urania i can t tell oh,answering_machine
2564,it not right yet to morrow thank you i understand but it s not going to take much time i have a product specialist on the,2,it not right yet to morrow thank you i understand but it s not going to take much time i have a product specialist on the,answering_machine
2565,another day don t you go an i ll go you the plans are you between the eight,2,another day don t you go an i ll go you the plans are you between the eight,answering_machine
2580,your name and number and i ll get back to you soon as i can this call is about a new state regulated finally repent insurance land which covers one hundred percent of your burial a funeral or oration expenses action it is it is specifically designed for the people on fixed income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press to to,2,your name and number and i ll get back to you soon as i can this call is about a new state regulated finally repent insurance land which covers one hundred percent of your burial a funeral or oration expenses action it is it is specifically designed for the people on fixed income or social security would you like to learn more about it if you are satisfied with your message press one to listen to your message press to to,answering_machine
2594,it yes but you ll,2,it yes but you ll,answering_machine
2631,no no not ttodayi was on my way out i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can give you even,2,no no not ttodayi was on my way out i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our product specialist can give you even,answering_machine
2636,yes but right now i m getting ready to go,2,yes but right now i m getting ready to go,answering_machine
2652,it well at this time i don t help than i d like to learn more but i ll,2,it well at this time i don t help than i d like to learn more but i ll,answering_machine
2718,it no not i not i time but thank you for calling i completely understand that but these new fordable plans have just,2,it no not i not i time but thank you for calling i completely understand that but these new fordable plans have just,answering_machine
2737,it not this not this time thank you,2,it not this not this time thank you,answering_machine
2758,it no not now,2,it no not now,answering_machine
2761,i m busy,2,i m busy,answering_machine
2764,it no not right now i completely understand that but,2,it no not right now i completely understand that but,answering_machine
2770,i m doing pretty good i m in the middle of cooking right now and i m sorry that i can t talk to you right now,2,i m doing pretty good i m in the middle of cooking right now and i m sorry that i can t talk to you right now,answering_machine
2782,supper time and i have a family to fid why the hell runnin yet marlow final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically des designed for the people on fixed income or social security would you like to learn more about it,2,supper time and i have a family to fid why the hell runnin yet marlow final expense insurance plan which covers a hundred percent of your burial funeral or cremation expenses it is specifically des designed for the people on fixed income or social security would you like to learn more about it,answering_machine
2789,well i m sorry that i can t talk,2,well i m sorry that i can t talk,answering_machine
2824,it i don t think so not at this time anyway i completely understand that but these new fordable plans suggested,2,it i don t think so not at this time anyway i completely understand that but these new fordable plans suggested,answering_machine
2856,it not today,2,it not today,answering_machine
2923,i m done a man in the midst of doing some painting and doing some work so what do you need,2,i m done a man in the midst of doing some painting and doing some work so what do you need,answering_machine
2926,it ah not ttodaymay be the latter,2,it ah not ttodaymay be the latter,answering_machine
2985,now,2,now,answering_machine
2992,it well not not just yet let me william s hand to go back to work i,2,it well not not just yet let me william s hand to go back to work i,answering_machine
2996,no not at this time thank you i,2,no not at this time thank you i,answering_machine
3010,it no i m just visiting texas i come from massachusetts and would you take,2,it no i m just visiting texas i come from massachusetts and would you take,answering_machine
3085,dook i talk right on that regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation i have a prepaid funeral plan already in effect paid for it is right to learn more about it no,2,dook i talk right on that regulated final expense insurance plan which covers a hundred percent of your burial funeral or cremation i have a prepaid funeral plan already in effect paid for it is right to learn more about it no,answering_machine
3089,i m going pretty good right now to continue on to regulate that final expense insurance plan which covers a hundred percent of your burial come now tell me some one on this in the text would you like to learn more about it,2,i m going pretty good right now to continue on to regulate that final expense insurance plan which covers a hundred percent of your burial come now tell me some one on this in the text would you like to learn more about it,answering_machine
3116,it not at this time thank you to qualify you for the plan,2,it not at this time thank you to qualify you for the plan,answering_machine
3146,all right my little busy at the supper but what with,2,all right my little busy at the supper but what with,answering_machine
3151,it oh not now thanks,2,it oh not now thanks,answering_machine
3196,not amy but i don t feel like the one at a time too about lunch with my son i understand but it s not going to take much time i have a product special that is not it is no can take your time to make a decision this call is about a new state regulated ted final expenses i m not a hundred percent of your burial funeral,2,not amy but i don t feel like the one at a time too about lunch with my son i understand but it s not going to take much time i have a product special that is not it is no can take your time to make a decision this call is about a new state regulated ted final expenses i m not a hundred percent of your burial funeral,answering_machine
3265,not now,2,not now,answering_machine
3266,it not already get so i,2,it not already get so i,answering_machine
3290,it not right now i completely understand that but the,2,it not right now i completely understand that but the,answering_machine
3335,that right now right now a kind of tie hits the dor and i m waiting for the doctor to call me back,2,that right now right now a kind of tie hits the dor and i m waiting for the doctor to call me back,answering_machine
3339,rather i know how can i help you,2,rather i know how can i help you,answering_machine
3371,of you come to avery,2,of you come to avery,answering_machine
3373,it o no no no i,2,it o no no no i,answering_machine
3416,it not to say,2,it not to say,answering_machine
3417,i gotta,2,i gotta,answering_machine
3446,i m round my neck,2,i m round my neck,answering_machine
3454,get on we want them,2,get on we want them,answering_machine
3463,it not ttoda,2,it not ttoda,answering_machine
3553,it not at this time thank you i completely understand that but these new,2,it not at this time thank you i completely understand that but these new,answering_machine
3573,it i know now i m thinkin would you like to learn more about it,2,it i know now i m thinkin would you like to learn more about it,answering_machine
3586,it no not at this time i,2,it no not at this time i,answering_machine
3640,it no no no i would not right now father,2,it no no no i would not right now father,answering_machine
3653,it no not right now talk to me and i think we already have that arranged i,2,it no not right now talk to me and i think we already have that arranged i,answering_machine
3723,it later on the day s call later i ve got not even awake yet i ll be home all day they can call me if they call me back i would like to learn,2,it later on the day s call later i ve got not even awake yet i ll be home all day they can call me if they call me back i would like to learn,answering_machine
3757,it not this time thank god,2,it not this time thank god,answering_machine
3771,it not this time thank you,2,it not this time thank you,answering_machine
3781,working working working,2,working working working,answering_machine
3795,oh i m really really busy i hope you re well i need you off the telephone now have a nice day young lady by by sorry,2,oh i m really really busy i hope you re well i need you off the telephone now have a nice day young lady by by sorry,answering_machine
3883,ttodaythank you for,2,ttodaythank you for,answering_machine
3893,i can t break down busy but i came later,2,i can t break down busy but i came later,answering_machine
3903,it well maybe lad would not right now,2,it well maybe lad would not right now,answering_machine
3952,nothing thank you right this,2,nothing thank you right this,answering_machine
3981,i m doing fine but,2,i m doing fine but,answering_machine
4028,it no not this time thank you i completely,2,it no not this time thank you i completely,answering_machine
4035,busy,2,busy,answering_machine
4037,it no no no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our prodigal specialists can give you one alone i don t feel,2,it no no no i completely understand that but these new fordable plans have just been approved in your state and everyone qualified so our prodigal specialists can give you one alone i don t feel,answering_machine
4048,are you talking about insurance darling,2,are you talking about insurance darling,answering_machine
4058,it not at this time i,2,it not at this time i,answering_machine
4059,can i get a coat please,2,can i get a coat please,answering_machine
4067,man humpy you know i m a rest don t you this call,2,man humpy you know i m a rest don t you this call,answering_machine
4106,not this time i,2,not this time i,answering_machine
4123,it not at this time thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,2,it not at this time thank you i completely understand that but these new fordable plans have just been approved in your state and everyone qualified,answering_machine
4128,it no not they,2,it no not they,answering_machine
4131,it not ttodayi completely understand that but,2,it not ttodayi completely understand that but,answering_machine
4191,it i m just about dead right now,2,it i m just about dead right now,answering_machine
4218,look i m not getting any right now i m on my way here but to murmur from out oh cousin cousin,2,look i m not getting any right now i m on my way here but to murmur from out oh cousin cousin,answering_machine
4225,no not right now i,2,no not right now i,answering_machine
4269,it you are,2,it you are,answering_machine
4328,okay,2,okay,answering_machine
4351,it hold on that you talk,2,it hold on that you talk,answering_machine
4387,pretty busy,2,pretty busy,answering_machine
4391,i m in mild stuff amy what s up i,2,i m in mild stuff amy what s up i,answering_machine
4398,it no not at this time i have nothing complete,2,it no not at this time i have nothing complete,answering_machine
4400,it no not ttodayi completely understand that,2,it no not ttodayi completely understand that,answering_machine
4434,it no care how to call you back i go driving right now i,2,it no care how to call you back i go driving right now i,answering_machine
4462,i m doing just then but i never had no time to talk this,2,i m doing just then but i never had no time to talk this,answering_machine
4475,it no one i understood,2,it no one i understood,answering_machine
4492,very busy thank,2,very busy thank,answering_machine
4498,nothing i m very very busy sure got,2,nothing i m very very busy sure got,answering_machine
4520,it a threatening,2,it a threatening,answering_machine
4525,it not that i know because i say it now with the family,2,it not that i know because i say it now with the family,answering_machine
4526,it not right now okay i,2,it not right now okay i,answering_machine
4543,it later,2,it later,answering_machine
4567,it that rena,2,it that rena,answering_machine
4604,come here came i m tired to give me another call no not ttodayi let you come off thank you how about,2,come here came i m tired to give me another call no not ttodayi let you come off thank you how about,answering_machine
4615,it not ttodaybecause some people go maybe can come to morrow,2,it not ttodaybecause some people go maybe can come to morrow,answering_machine
4643,and kai this call,2,and kai this call,answering_machine
4682,i am a little visit at the moment trouble holes and,2,i am a little visit at the moment trouble holes and,answering_machine
4700,i,2,i,answering_machine
4740,i m doing fine amy amy i m trying to take a nap but i don t have time to talk,2,i m doing fine amy amy i m trying to take a nap but i don t have time to talk,answering_machine
4756,it later but not right now i m not well i m taking under influence of some medication the doctor s given me so this is not a good time for me thank you i understand but i m not going to take take much time i have a product specialist on the line who can show,2,it later but not right now i m not well i m taking under influence of some medication the doctor s given me so this is not a good time for me thank you i understand but i m not going to take take much time i have a product specialist on the line who can show,answering_machine
4764,man trying to get over my hip replacing it go back to the doctor the seven next mine i understand,2,man trying to get over my hip replacing it go back to the doctor the seven next mine i understand,answering_machine
4796,it not not so base i,2,it not not so base i,answering_machine
4806,it no not at this time,2,it no not at this time,answering_machine
4822,no no again,2,no no again,answering_machine
4875,it i m very busy now,2,it i m very busy now,answering_machine
4956,it well not ttodaybaby i completely understand that to you,2,it well not ttodaybaby i completely understand that to you,answering_machine
5041,it you d better call here another day i m busy i m cooking dinner call me back to morrow,2,it you d better call here another day i m busy i m cooking dinner call me back to morrow,answering_machine
5111,i m doing just fine kind of busy right right all,2,i m doing just fine kind of busy right right all,answering_machine
5115,it no enough,2,it no enough,answering_machine
5119,it one stand,2,it one stand,answering_machine
5163,i m doing fine but i m trying to eat my supper right now great,2,i m doing fine but i m trying to eat my supper right now great,answering_machine
5164,it not at this time but one course i d like to ask you how much that one cost me per month,2,it not at this time but one course i d like to ask you how much that one cost me per month,answering_machine
5213,more about it oh no no no no no i appreciate that i completely understand that but these new and fordable plans have just been approved in your state and everyone,2,more about it oh no no no no no i appreciate that i completely understand that but these new and fordable plans have just been approved in your state and everyone,answering_machine
5215,it well not a day maybe some other time then in a week,2,it well not a day maybe some other time then in a week,answering_machine
5236,i m doing good in taking it great,2,i m doing good in taking it great,answering_machine
5241,not right now maybe later i,2,not right now maybe later i,answering_machine
5270,it not right now but i will later i understand but,2,it not right now but i will later i understand but,answering_machine
5272,going fine in the beauty this call is about a new state regulated final expense insurance,2,going fine in the beauty this call is about a new state regulated final expense insurance,answering_machine
5318,ah i don t have time,2,ah i don t have time,answering_machine
5321,it no not right now called right now i completely understand that but these new fordable plans have just been improved in your state and everyone qualified so our product specialists can give you more information right now if you like the price prices you can own no man no ma am that s gone you may not,2,it no not right now called right now i completely understand that but these new fordable plans have just been improved in your state and everyone qualified so our product specialists can give you more information right now if you like the price prices you can own no man no ma am that s gone you may not,answering_machine
5324,it i m pretty well satisfied that we are ever in that text were calling i completely understood,2,it i m pretty well satisfied that we are ever in that text were calling i completely understood,answering_machine
5340,out working i understand but i was not going to take much time i have a product specialist on the line to take your time to make it in this call is about amusement regulated ted final expense insurance plan which covers a hundred percent of your burial funeral or cream or more again and paid for i don t know any more about it,2,out working i understand but i was not going to take much time i have a product specialist on the line to take your time to make it in this call is about amusement regulated ted final expense insurance plan which covers a hundred percent of your burial funeral or cream or more again and paid for i don t know any more about it,answering_machine
